iteration,systemTime-ms,numObservedEntities,logLikelihood,popSize,aggDist-fname_c1,aggDist-lname_c1,aggDist-by,aggDist-bm,aggDist-bd,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5
69,1602132206685,478,-1.052803285e+04,500,6,37,38,15,53,364,124,11,1,0,0
70,1602132206915,478,-1.054177696e+04,500,4,33,40,10,63,359,133,7,1,0,0
71,1602132206969,478,-1.049510684e+04,500,3,27,38,10,59,371,121,8,0,0,0
72,1602132207020,478,-1.043366810e+04,500,1,36,35,9,54,373,120,6,1,0,0
73,1602132207097,478,-1.044386816e+04,500,0,27,35,9,60,376,117,7,0,0,0
74,1602132207152,477,-1.049463371e+04,500,1,27,51,10,47,379,107,13,1,0,0
75,1602132207209,477,-1.066153391e+04,500,6,27,57,7,64,355,129,16,0,0,0
76,1602132207280,477,-1.062579296e+04,500,14,34,48,9,61,348,138,14,0,0,0
77,1602132207336,477,-1.064799920e+04,500,27,29,48,10,57,346,139,13,2,0,0
78,1602132207396,477,-1.057976280e+04,500,30,35,39,11,49,352,132,16,0,0,0
79,1602132207544,477,-1.047706679e+04,500,37,31,33,12,39,361,129,8,1,1,0
80,1602132207773,477,-1.054701199e+04,500,35,31,41,14,41,360,119,20,1,0,0
81,1602132207823,477,-1.057996457e+04,500,30,35,45,21,35,352,131,16,1,0,0
82,1602132207877,477,-1.044467577e+04,500,28,27,29,21,35,372,117,10,1,0,0
83,1602132207924,477,-1.051379375e+04,500,32,24,36,13,45,364,123,12,1,0,0
84,1602132207980,477,-1.052569421e+04,500,28,19,43,3,56,363,125,12,0,0,0
85,1602132208044,477,-1.070464756e+04,500,28,34,42,12,69,338,140,21,1,0,0
86,1602132208112,477,-1.073555392e+04,500,27,39,53,10,67,333,140,25,2,0,0
87,1602132208169,477,-1.068273222e+04,500,19,33,47,16,63,345,133,21,1,0,0
88,1602132208218,477,-1.073334809e+04,500,15,44,55,15,61,328,154,18,0,0,0
89,1602132208266,477,-1.072051638e+04,500,18,47,54,13,59,325,159,16,0,0,0
90,1602132208446,477,-1.069681647e+04,500,15,52,45,14,62,338,138,22,2,0,0
91,1602132208523,477,-1.050138267e+04,500,20,49,39,10,36,366,115,18,1,0,0
92,1602132208614,477,-1.057818478e+04,500,17,40,50,13,43,359,121,18,2,0,0
93,1602132208701,477,-1.075270117e+04,500,12,41,58,21,58,336,141,20,3,0,0
94,1602132208772,477,-1.067911077e+04,500,5,40,46,14,69,348,131,20,1,0,0
95,1602132208832,477,-1.066389505e+04,500,2,34,51,15,69,352,126,21,1,0,0
96,1602132208899,477,-1.063896088e+04,500,1,35,50,13,68,349,136,14,1,0,0
97,1602132208947,477,-1.066152335e+04,500,3,47,48,17,59,350,129,18,3,0,0
98,1602132209004,477,-1.062489634e+04,500,5,44,43,22,52,352,131,16,1,0,0
99,1602132209106,477,-1.067433835e+04,500,6,36,58,16,55,347,135,18,0,0,0
100,1602132209309,477,-1.072961768e+04,500,6,45,55,24,58,336,142,20,2,0,0
