token,known
CLORIS,0
CLOTILDE,0
CM,0
CMITO,0
CO,0
COILIA,0
COLAS,0
CONCHA,0
CONCSPSION,0
CONRAD,0
CONSEPSICN,0
CONSEPSION,1
CONSUELO,1
COOFREDO,0
CORCNADO,0
CORDELIA,1
CORNELIA,1
CORNELIO,1
CORNEYO,0
COROMADO,0
CORONADO,1
CORONAOO,0
COSEPSICN,0
COSEPSION,0
COSME,1
COSTULO,1
COTO,0
CRESENSIO,1
CRISTABEL,1
CRISTCSAL,0
CRISTINA,1
CRISTINO,1
CRISTOBAL,1
CRLANOO,0
CRTSTINA,0
CRUS,1
CSISTINO,0
CSLESTINA,0
CUPERTINO,1
CUSTCOIO,0
D<AB>,0
DABID,1
DAISI,1
DAKI,0
DAMIAN,1
DANIEL,1
DANILO,1
DCHINGO,0
DCMEO,0
DCMIGO,0
DCMINGA,0
DCMINGO,0
DCMITILA,0
DCMIXGA,0
DCMMGA,0
DE,0
DEBIOS,0
DEDOLORES,1
DEESIO,0
DEISI,0
DEJESUS,1
DEL,0
DELACRUS,1
DELALUS,1
DELCARMEN,1
DELEOM,0
DELFINA,1
DELI,0
DELIA,1
DELIS,1
DELMI,0
DELMIS,0
DELOSANJELES,1
DELROSARIO,1
DELTRANSITO,1
DEMARIA,1
DEMESIO,1
DESIDERIO,1
DIAS,0
DIGMA,0
DIGNO,1
DIMAS,1
DINA,1
DIONISIA,1
DIONISIO,1
DIONOSIO,0
DOLORES,1
DOMINGA,1
DOMINGO,1
DOMISIANO,1
DON,0
DONATO,1
DOR,0
DORA,1
DORALISIA,1
DOREMETERIO,0
DORILA,1
DORIS,1
DOROTEO,1
DOUGLAS,1
DULA,0
EBA,1
EBALIO,0
EBAN,0
EBANJELINA,1
EBANJELIST,0
EBARISTO,1
EBELIA,1
EBELINA,1
EBELIO,1
EBRAIN,0
ECTOR,1
EDEMESIO,0
EDGAR,1
EDGARDO,1
EDGAROO,0
EDIBERTO,1
EDIS,1
EDIT,1
EDMUNDO,1
EDMUNOO,0
EDUARDO,1
EDUAROO,0
EDUBIJES,1
EDUIN,0
EDWIN,1
EFIJENIA,1
EFRAI,0
EFRAIM,0
EFRAIN,1
EFTALI,0
EI,0
EL,0
ELAD,0
ELADIO,1
ELBA,1
ELBIRA,1
ELBITA,0
ELD,0
ELECTERIO,0
ELENA,1
ELEODORO,0
ELER,0
ELEUTERIO,0
ELI,0
ELIAS,1
ELIBERTO,0
ELICSO,0
ELIDA,1
ELIDARIA,1
ELIJIO,0
ELIO,1
ELIOA,0
ELISA,1
ELISABET,1
ELISAMORO,0
ELISANDRO,0
ELISEA,0
ELISEO,1
ELOI,1
ELOISA,1
ELOISO,1
ELS,0
ELSA,1
ELSI,1
EME,0
EMELINA,1
EMERITA,1
EMERITO,1
EMETERIO,1
EMI,0
EMILIA,1
EMILIANI,0
EMILIANO,1
EMILIO,1
EMMA,1
EMOJENES,0
ENCARNASICN,0
ENCARNASION,1
ENEMESIA,0
ENRICUE,0
ENRICUES,0
ENRICUETA,0
ENRIQUE,1
ENRIQUES,1
ENRRIQUE,0
EOUAROO,0
EPIFANIA,1
ERASMO,1
ERBERT,0
ERBIN,0
ERCULES,1
ERELDINA,0
ERIBERTO,1
ERIC,1
ERLINDA,1
ERLINDER,0
ERMAN,0
ERMANI,0
ERMES,1
ERMIMIO,0
ERMINIA,1
ERMINIO,1
ERMINIQ,0
ERMINO,0
ERMOJENES,1
ERNAN,1
ERNESTINA,1
ERNESTO,1
ERNESTOR,0
ERSILIA,1
ESAU,1
ESCOBAR,1
ESEFIUIEL,0
ESEOJIEL,0
ESEOUIEL,0
ESEQUIEL,1
ESLINDA,0
ESMERALDA,1
ESPECTASIC,0
ESPECTASION,0
ESPERAMSA,0
ESPERANSA,1
ESPOSORIO,0
ESTANISLADA,1
ESTANISLAO,1
ESTEANA,0
ESTEBA,0
ESTEBAN,1
ESTEBANA,1
ESTEBEN,0
ESTELA,0
ESTELIOA,0
ESTELITA,0
ESTER,1
ESTEU,0
ETELBINA,1
ETIO,0
EUFEMIA,1
EUJENIA,1
EUJENIO,1
EULALIA,1
EULALIO,1
EULISES,1
EULOFIA,1
EUSEBIA,1
EUSEBIO,1
EUSTAGUIO,0
EUSTAQUIO,1
