MUNI1,MUNI2
HUIZUCAR,LA LIBERTAD
COMASAGUA,SANTA TECLA
SANTA TECLA,NUEVO CUSCATLAN
NUEVO CUSCATLAN,ANTIGUO CUSCATLAN
SANTA TECLA,ANTIGUO CUSCATLAN
SANTA TECLA,SAN JOSE VILLANUEVA
NUEVO CUSCATLAN,SAN JOSE VILLANUEVA
NUEVO CUSCATLAN,HUIZUCAR
TALNIQUE,COMASAGUA
APOPA,AYUTUXTEPEQUE
SAN JOSE GUAYABAL,ORATORIO DE CONCEPCION
SAN BARTOLOME PERULAPIA,SAN PEDRO PERULAPAN
ORATORIO DE CONCEPCION,SAN BARTOLOME PERULAPIA
ORATORIO DE CONCEPCION,SAN PEDRO PERULAPAN
SAN PEDRO PERULAPAN,TENANCINGO
TENANCINGO,MONTE DE SAN JUAN
TENANCINGO,SANTA CRUZ MICHAPA
SAN PEDRO PERULAPAN,SANTA CRUZ MICHAPA
SANTA CRUZ MICHAPA,COJUTEPEQUE
SANTA CRUZ MICHAPA,MONTE DE SAN JUAN
MONTE DE SAN JUAN,COJUTEPEQUE
COJUTEPEQUE,EL CARMEN
MONTE DE SAN JUAN,EL CARMEN
MONTE DE SAN JUAN,EL ROSARIO
EL ROSARIO,EL CARMEN
EL ROSARIO,SAN RAFAEL CEDROS
TENANCINGO,EL ROSARIO
CANDELARIA,SAN RAMON
COJUTEPEQUE,SAN RAMON
COJUTEPEQUE,SAN CRISTOBAL
SAN RAMON,SAN CRISTOBAL
SAN RAMON,SANTA CRUZ ANALQUITO
CANDELARIA,SANTA CRUZ ANALQUITO
SAN RAMON,JERUSALEN
SAN CRISTOBAL,JERUSALEN
SANTA CRUZ ANALQUITO,JERUSALEN
SANTA CRUZ ANALQUITO,PARAISO DE OSORIO
SAN EMIGDIO,PARAISO DE OSORIO
SANTA CRUZ ANALQUITO,SANTA MARIA OSTUMA
EL CARMEN,SAN CRISTOBAL
SAN FRANCISCO CHINAMECA,TAPALHUACA
TAPALHUACA,SAN ANTONIO MASAHUAT
SAN FRANCISCO CHINAMECA,CUYULTITAN
CUYULTITAN,TAPALHUACA
TAPALHUACA,SAN LUIS TALPA
LA LIBERTAD,SAN LUIS TALPA
SAN LUIS TALPA,SAN PEDRO MASAHUAT
EL ROSARIO,SAN PEDRO MASAHUAT
SANTIAGO NONUALCO,SAN JUAN NONUALCO
SAN RAFAEL OBRAJUELO,SAN JUAN NONUALCO
SANTIAGO NONUALCO,SAN LUIS LA HERRADURA
SANTIAGO NONUALCO,ZACATECOLUCA
SANTIAGO NONUALCO,SAN RAFAEL OBRAJUELO
TAPALHUACA,SAN PEDRO MASAHUAT
SAN ANTONIO MASAHUAT,SAN PEDRO MASAHUAT
SAN ANTONIO MASAHUAT,SANTIAGO NONUALCO
SUCHITOTO,CINQUERA
POTONICO,CINQUERA
CINQUERA,JUTIAPA
POTONICO,JUTIAPA
CINQUERA,TEJUTEPEQUE
JUTIAPA,TEJUTEPEQUE
SANTA CLARA,SAN CAYETANO ISTEPEQUE
TEJUTEPEQUE,ILOBASCO
SUCHITOTO,TENANCINGO
SUCHITOTO,SAN PEDRO PERULAPAN
SUCHITOTO,ORATORIO DE CONCEPCION
CINQUERA,TENANCINGO
ILOBASCO,EL ROSARIO
ILOBASCO,SAN RAFAEL CEDROS
SAN ANTONIO DE LA CRUZ,SENSUNTEPEQUE
SAN JOSE CANCASQUE,SENSUNTEPEQUE
SAN JOSE CANCASQUE,JUTIAPA
JUTIAPA,SENSUNTEPEQUE
ILOBASCO,SENSUNTEPEQUE
ILOBASCO,SAN ISIDRO
SENSUNTEPEQUE,SAN ISIDRO
VICTORIA,SENSUNTEPEQUE
GUACOTECTI,SENSUNTEPEQUE
SAN ISIDRO,GUACOTECTI
SAN ISIDRO,SENSUNTEPEQUE
SENSUNTEPEQUE,GUACOTECTI
SENSUNTEPEQUE,VILLA DOLORES
SAN PEDRO MASAHUAT,SANTIAGO NONUALCO
SAN PEDRO MASAHUAT,SAN LUIS LA HERRADURA
EL ROSARIO,SANTIAGO NONUALCO
SAN JUAN NONUALCO,ZACATECOLUCA
SAN LUIS LA HERRADURA,TECOLUCA
GUADALUPE,ZACATECOLUCA
ZACATECOLUCA,TECOLUCA
VERAPAZ,GUADALUPE
VERAPAZ,TEPETITAN
GUADALUPE,TEPETITAN
TEPETITAN,SAN CAYETANO ISTEPEQUE
SAN CAYETANO ISTEPEQUE,SAN VICENTE
TEPETITAN,SAN VICENTE
SAN LORENZO,TEPETITAN
SANTO DOMINGO,TEPETITAN
SANTO DOMINGO,VERAPAZ
SANTO DOMINGO,SAN LORENZO
SAN LORENZO,SAN CAYETANO ISTEPEQUE
SAN CRISTOBAL,VERAPAZ
SAN CRISTOBAL,SANTO DOMINGO
SAN RAFAEL CEDROS,SAN SEBASTIAN
SAN RAFAEL CEDROS,SANTO DOMINGO
SANTO DOMINGO,SAN SEBASTIAN
SAN SEBASTIAN,SAN LORENZO
SAN LORENZO,SAN ESTEBAN CATARINA
SAN SEBASTIAN,SAN ESTEBAN CATARINA
SAN ESTEBAN CATARINA,APASTEPEQUE
SAN ESTEBAN CATARINA,SAN CAYETANO ISTEPEQUE
SAN CAYETANO ISTEPEQUE,APASTEPEQUE
ILOBASCO,SAN SEBASTIAN
VILLA DOLORES,SAN ILDEFONSO
SANTA CLARA,SAN ILDEFONSO
SAN ESTEBAN CATARINA,SANTA CLARA
APASTEPEQUE,SAN VICENTE
SAN ILDEFONSO,SAN VICENTE
SAN AGUSTIN,SAN FRANCISCO JAVIER
JIQUILISCO,SAN FRANCISCO JAVIER
SAN FRANCISCO JAVIER,OZATLAN
JIQUILISCO,OZATLAN
PUERTO EL TRIUNFO,USULUTAN
JIQUILISCO,USULUTAN
SAN DIONISIO,USULUTAN
USULUTAN,JUCUARAN
CONCEPCION BATRES,JUCUARAN
USULUTAN,EREGUAYQUIN
EREGUAYQUIN,SANTA MARIA
SANTA MARIA,USULUTAN
OZATLAN,USULUTAN
SANTA ELENA,USULUTAN
SANTA ELENA,SANTA MARIA
CALIFORNIA,USULUTAN
CALIFORNIA,TECAPAN
TECAPAN,OZATLAN
SAN FRANCISCO JAVIER,TECAPAN
BERLIN,TECAPAN
ALEGRIA,TECAPAN
BERLIN,ALEGRIA
TECAPAN,SANTIAGO DE MARIA
SANTIAGO DE MARIA,CALIFORNIA
SANTIAGO DE MARIA,SANTA ELENA
BERLIN,SAN AGUSTIN
CALIFORNIA,SANTA ELENA
JUCUAPA,SANTA ELENA
BERLIN,SAN FRANCISCO JAVIER
ALEGRIA,MERCEDES UMAÐA
MERCEDES UMAÐA,ESTANZUELAS
EL TRIUNFO,MERCEDES UMAÐA
MERCEDES UMAÐA,NUEVA GRANADA
SAN BUENAVENTURA,JUCUAPA
EL TRIUNFO,JUCUAPA
EL TRIUNFO,ALEGRIA
VILLA DOLORES,NUEVO EDEN DE SAN JUAN
SAN LUIS DE LA REINA,SESORI
NUEVO EDEN DE SAN JUAN,SESORI
SAN LUIS DE LA REINA,CAROLINA
CAROLINA,SAN ANTONIO DEL MOSCO
CAROLINA,CIUDAD BARRIOS
LOLOTIQUE,MONCAGUA
LOLOTIQUE,NUEVA GUADALUPE
CHAPELTIQUE,MONCAGUA
MONCAGUA,NUEVA GUADALUPE
MONCAGUA,SAN MIGUEL
MONCAGUA,QUELEPA
QUELEPA,SAN MIGUEL
CHINAMECA,SAN MIGUEL
CHINAMECA,MONCAGUA
JUCUAPA,CHINAMECA
CHINAMECA,SAN JORGE
SANTA ELENA,CHINAMECA
SAN JORGE,SAN RAFAEL ORIENTE
SAN JORGE,SAN MIGUEL
SAN RAFAEL ORIENTE,SAN MIGUEL
EREGUAYQUIN,EL TRANSITO
CHIRILAGUA,JUCUARAN
CIUDAD BARRIOS,CHAPELTIQUE
ZONA EN PROCESO DE DEMARCACION,PERQUIN
ARAMBALA,PERQUIN
SAN FERNANDO,PERQUIN
PERQUIN,ARAMBALA
PERQUIN,JOCOAITIQUE
SAN FERNANDO,TOROLA
SAN ANTONIO DEL MOSCO,TOROLA
TOROLA,SAN ISIDRO
JOCOAITIQUE,MEANGUERA
SAN ISIDRO,SAN SIMON
EL ROSARIO,MEANGUERA
GUALOCOCTI,OSICALA
JOATECA,CACAOPERA
DELICIAS DE CONCEPCION,CACAOPERA
OSICALA,DELICIAS DE CONCEPCION
YOLOAIQUIN,DELICIAS DE CONCEPCION
YOLOAIQUIN,CACAOPERA
YOLOAIQUIN,LOLOTIQUILLO
GUATAJIAGUA,YAMABAL
OSICALA,CHILANGA
LOLOTIQUILLO,SOCIEDAD
LOLOTIQUILLO,SAN FRANCISCO GOTERA
CORINTO,SOCIEDAD
CIUDAD BARRIOS,YAMABAL
CHAPELTIQUE,GUATAJIAGUA
SAN FRANCISCO GOTERA,SAN CARLOS
SAN CARLOS,EL DIVISADERO
SAN FRANCISCO GOTERA,EL DIVISADERO
SAN FRANCISCO GOTERA,JOCORO
SAN FRANCISCO GOTERA,SOCIEDAD
LISLIQUE,NUEVA ESPARTA
CORINTO,LISLIQUE
CORINTO,ANAMOROS
LISLIQUE,ANAMOROS
NUEVA ESPARTA,POLOROS
ANAMOROS,NUEVA ESPARTA
POLOROS,CONCEPCION DE ORIENTE
POLOROS,EL SAUCE
CONCEPCION DE ORIENTE,EL SAUCE
NUEVA ESPARTA,EL SAUCE
ANAMOROS,EL SAUCE
SOCIEDAD,ANAMOROS
JOCORO,SANTA ROSA DE LIMA
ANAMOROS,SANTA ROSA DE LIMA
SANTA ROSA DE LIMA,EL SAUCE
EL SAUCE,PASAQUINA
SAN JOSE,PASAQUINA
SANTA ROSA DE LIMA,SAN JOSE
SANTA ROSA DE LIMA,BOLIVAR
JOCORO,BOLIVAR
YUCUAIQUIN,BOLIVAR
ULUAZAPA,YUCUAIQUIN
BOLIVAR,SAN JOSE
SAN ALEJO,PASAQUINA
BOLIVAR,SAN ALEJO
SAN JOSE,SAN ALEJO
YUCUAIQUIN,SAN ALEJO
YUCUAIQUIN,YAYANTIQUE
ULUAZAPA,YAYANTIQUE
SAN ALEJO,EL CARMEN
CHIRILAGUA,INTIPUCA
INTIPUCA,LA UNION
METAPAN,SAN ANTONIO PAJONAL
SANTA ROSA DE LIMA,PASAQUINA
METAPAN,CITALA
METAPAN,LA PALMA
METAPAN,NUEVA CONCEPCION
EL CONGO,CIUDAD ARCE
SANTA ANA,SAN PABLO TACACHICO
COATEPEQUE,SAN PABLO TACACHICO
APANECA,SANTA CATARINA MASAHUAT
ZONA EN PROCESO DE DEMARCACION,CITALA
CITALA,LA PALMA
CITALA,SAN IGNACIO
ZONA EN PROCESO DE DEMARCACION,SAN IGNACIO
SAN FERNANDO,ZONA EN PROCESO DE DEMARCACION
TEJUTLA,SAN FERNANDO
LA PALMA,ZONA EN PROCESO DE DEMARCACION
SAN FERNANDO,SAN FRANCISCO MORAZAN
DULCE NOMBRE DE MARIA,ZONA EN PROCESO DE DEMARCACION
NUEVA CONCEPCION,SAN PABLO TACACHICO
LA LAGUNA,ZONA EN PROCESO DE DEMARCACION
EL CARRIZAL,ZONA EN PROCESO DE DEMARCACION
OJOS DE AGUA,ZONA EN PROCESO DE DEMARCACION
CHALATENANGO,SAN JOSE LAS FLORES
CONCEPCION QUEZALTEPEQUE,LAS VUELTAS
