MUNI1,MUNI2
SAN PABLO TACACHICO,EL PAISNAL
AGUILARES,GUAZAPA
AGUILARES,SUCHITOTO
TONACATEPEQUE,SAN JOSE GUAYABAL
SAN JOSE GUAYABAL,SAN MARTIN
DELGADO,TONACATEPEQUE
APOPA,CUSCATANCINGO
CUSCATANCINGO,DELGADO
AYUTUXTEPEQUE,DELGADO
APOPA,MEJICANOS
NEJAPA,SAN SALVADOR
SANTA TECLA,NEJAPA
DELGADO,SAN SALVADOR
SOYAPANGO,SAN MARCOS
ILOPANGO,SANTIAGO TEXACUANGOS
SANTIAGO TEXACUANGOS,SAN FRANCISCO CHINAMECA
SANTIAGO TEXACUANGOS,OLOCUILTA
PANCHIMALCO,OLOCUILTA
GUAZAPA,TONACATEPEQUE
DELGADO,SOYAPANGO
SAN MARCOS,SANTO TOMAS
SANTO TOMAS,PANCHIMALCO
SANTO TOMAS,OLOCUILTA
PANCHIMALCO,LA LIBERTAD
SAN SALVADOR,SAN MARCOS
SAN MARCOS,PANCHIMALCO
SAN SALVADOR,PANCHIMALCO
SOYAPANGO,SANTO TOMAS
ILOPANGO,SANTO TOMAS
TONACATEPEQUE,SOYAPANGO
TONACATEPEQUE,ILOPANGO
GUAZAPA,APOPA
NEJAPA,GUAZAPA
AGUILARES,NEJAPA
EL PAISNAL,AGUILARES
NEJAPA,APOPA
APOPA,TONACATEPEQUE
APOPA,DELGADO
AYUTUXTEPEQUE,CUSCATANCINGO
MEJICANOS,DELGADO
SOYAPANGO,ILOPANGO
TONACATEPEQUE,SAN MARTIN
SAN MARTIN,SAN BARTOLOME PERULAPIA
SAN MARTIN,SAN PEDRO PERULAPAN
HUIZUCAR,ROSARIO DE MORA
SAN SALVADOR,SOYAPANGO
MEJICANOS,SAN SALVADOR
CUSCATANCINGO,SAN SALVADOR
MEJICANOS,CUSCATANCINGO
MEJICANOS,AYUTUXTEPEQUE
QUEZALTEPEQUE,NEJAPA
GUAZAPA,SAN JOSE GUAYABAL
EL PAISNAL,SAN MATIAS
EL PAISNAL,QUEZALTEPEQUE
EL PAISNAL,SUCHITOTO
ARMENIA,SACACOYO
ARMENIA,CIUDAD ARCE
SAN LORENZO,ATIQUIZAYA
AHUACHAPAN,SAN LORENZO
AHUACHAPAN,ATIQUIZAYA
AHUACHAPAN,TURIN
AHUACHAPAN,TACUBA
AHUACHAPAN,CONCEPCION DE ATACO
TACUBA,CONCEPCION DE ATACO
CONCEPCION DE ATACO,APANECA
APANECA,JUAYUA
JUJUTLA,GUAYMANGO
GUAYMANGO,SAN PEDRO PUXTLA
GUAYMANGO,ACAJUTLA
GUAYMANGO,SANTO DOMINGO DE GUZMAN
SAN PEDRO PUXTLA,SANTO DOMINGO DE GUZMAN
GUATEMALA,SAN FRANCISCO MENENDEZ
GUATEMALA,TACUBA
GUATEMALA,AHUACHAPAN
GUATEMALA,SAN LORENZO
EL REFUGIO,CHALCHUAPA
TURIN,ATIQUIZAYA
TACUBA,JUJUTLA
SAN FRANCISCO MENENDEZ,JUJUTLA
JUJUTLA,ACAJUTLA
TACUBA,SAN FRANCISCO MENENDEZ
CONCEPCION DE ATACO,JUJUTLA
ATIQUIZAYA,CHALCHUAPA
ATIQUIZAYA,EL REFUGIO
CHALCHUAPA,ATIQUIZAYA
CHALCHUAPA,SAN LORENZO
APANECA,SAN PEDRO PUXTLA
SAN PEDRO PUXTLA,SANTA CATARINA MASAHUAT
