"token","known"
"DELGAOO",0
"DELOPES",1
"DELSID",1
"DEMARIN",1
"DEMARROQUIN",1
"DEMEJIA",1
"DEMENJIBAR",1
"DEMENOES",0
"DEMENUIBAX",0
"DEMIRANDA",1
"DEMOLINA",1
"DEMONTERROSA",1
"DEMONTES",1
"DEMONTOYA",1
"DEMUANGO",0
"DEPAS",1
"DEPERES",1
"DERA",0
"DERAMIRES",1
"DERAS",1
"DERAUOA",0
"DEREYES",1
"DERIBAS",1
"DERIBERA",1
"DEROSALES",1
"DESAMORA",1
"DESIBRIAM",0
"DETOBAR",1
"DETRUJIYO",1
"DIAS",1
"DIMAS",1
"DLBCN",0
"DO",0
"DOMINGUES",1
"DONO",1
"DORADEA",1
"DORANTES",1
"DUARTE",1
"DUBCM",0
"DUBCN",0
"DUBO",0
"DUBOM",0
"DUBON",1
"DURAN",1
"E",0
"E5COBAR",0
"EBCRA",0
"EBORA",1
"ECHEBERRIA",1
"EFIJEMIO",0
"EFIJENIO",1
"EJIA",0
"EJIBAR",0
"EJILIA",0
"EJIYA",0
"ELENA",1
"ELIASAR",1
"EMBRENO",0
"EMRIQUES",0
"ENA",0
"ENAMORADO",1
"ENANDES",0
"ENJIBAR",0
"ENRIQUE",1
"ENRIQUES",1
"EQUISABAL",1
"ERANDES",0
"ERASO",1
"ERCULES",1
"ERIO",0
"ERIOUES",0
"ERIQUES",0
"ERMAN",0
"ERMIIO",0
"ERNAN",1
"ERNANDES",1
"ERNANOES",0
"ERNESTINA",1
"ERRERA",1
"ESA",0
"ESCALANTE",1
"ESCAMIYA",1
"ESCCBAR",0
"ESCCSAR",0
"ESCOBAR",1
"ESCOTO",1
"ESOUIBEL",0
"ESPINO",1
"ESPINOSA",1
"ESQUIBEL",1
"ESTRADA",1
"EXIRA",0
"FABIAN",1
"FACUNDO",1
"FARO",1
"FERNANDES",1
"FERNANOES",0
"FIGUEROA",1
"FILAMEMTOS",0
"FLAMENCO",1
"FLCRES",0
"FLOERS",0
"FLORES",1
"FRANCO",1
"FUENTES",1
"FUME",0
"FUNE",1
"GABIDIA",1
"GALAX",0
"GALBES",0
"GALDAES",0
"GALDAME",0
"GALDAMES",1
"GALISIA",1
"GALOAMES",0
"GALOANOES",0
"GAMES",1
"GARSIA",1
"GARSIAS",0
"GAYAROO",0
"GAYEGOS",1
"GCCHES",0
"GCMES",0
"GCNSALES",0
"GCOOI",0
"GOCOAY",0
"GOMES",1
"GONSALES",1
"GOTAI",1
"GRANADCS",0
"GRANADOS",1
"GRANAOO",0
"GRANAOOS",0
"GRANDE",1
"GRANDE5",0
"GRASIANO",1
"GUADRON",1
"GUARDADO",1
"GUARDAOO",0
"GUAROADO",0
"GUAROAOO",0
"GUEBARA",1
"GUEBARRA",0
"GUERRA",1
"GUERRERO",1
"GUI",0
"GUIROLA",1
"GUIYEN",1
"GUSMAN",1
"GUTIERRES",1
"I",0
"IDALGO",1
"IETO",0
"IGLESIAS",1
"IJAMGO",0
"IMERI",1
"INGLES",1
"INO",0
"INTERIANO",1
"IRAETA",1
"IRIONOO",0
"IRISU",1
"IS",0
"IYA",0
"JABERI",0
"JAIME",1
"JARE",1
"JEBARA",0
"JEDA",1
"JENOBE",1
"JESUS",0
"JIMENES",1
"JIRCN",0
"JIRON",1
"JIYEM",0
"JIYEN",0
"JOBEL",1
"JOREL",1
"JOSE",1
"JOYA",1
"JUACHIN",1
"JUARES",1
"JUASIUN",0
"JUATES",0
"JUTESIANO",0
"KAGANA",0
"KURIYOS",0
"LA",0
"LAIE",0
"LAINES",1
"LANDABERDE",1
"LANDABEROE",0
"LANOABERDE",0
"LANOABEROE",0
"LARA",1
"LARIN",1
"LARIOS",1
"LARO",1
"LASO",1
"LCPES",0
"LCPGS",0
"LECH",0
"LEIBA",1
"LEIBAS",0
"LEMOS",0
"LEMUS",1
"LEON",1
"LEOS",0
"LETONA",1
"LEUS",0
"LEWS",0
"LILIA",1
"LINARES",1
"LIONES",0
"LISAA",0
"LISAMA",1
"LISANO",1
"LISCAMO",0
"LISCANO",1
"LOBO",1
"LOBOS",0
"LOOILES",0
"LOPES",1
"LOSANO",1
"LUA",0
"LUNA",1
"MACHAOO",0
"MADRID",1
"MADRIL",1
"MAGAFLA",1
"MAGANA",1
"MAJANO",1
"MAJIN",1
"MALDONADO",1
"MALOONADO",0
"MANOQUIN",0
"MANS",0
"MANSANARES",1
"MANSIA",1
"MANSILU",0
"MANSIYA",1
"MANUEL",1
"MARABIYA",1
"MARAOIAGA",0
"MARCOS",1
"MARIA",1
"MARIN",1
"MARINERO",1
"MARINO",1
"MARITINES",0
"MARMOL",1
"MARQUES",1
"MARRCOIN",0
"MARRCOUIN",0
"MARRCQIN",0
"MARROCUIM",0
"MARROCUIN",0
"MARROGUIN",0
"MARROQUIM",0
"MARROQUIN",1
"MARTEL",1
"MARTIES",0
"MARTIN",1
"MARTINES",1
"MARTIR",1
"MARUN",1
"MASAREO",0
"MASARIEGO",1
"MATA",1
"MATINES",0
"MATUTE",1
"MCNTES",0
"MCRALES",0
"MECOS",0
"MED",0
"MEDINA",1
"MEDRAMO",0
"MEDRANO",1
"MEDRAO",0
"MEJIA",1
"MEJIAS",0
"MEJIBAR",0
"MELARA",1
"MELBA",1
"MELENDES",1
"MELENOES",0
"MELGAR",1
"MELUBA",0
"MEMBREFIO",0
"MEMBREFLO",0
"MEMBREFO",0
"MEMBRENO",1
"MEMJIBAR",0
"MENA",1
"MENDEN",0
"MENDES",1
"MENDOSA",1
"MENENOES",0
"MENJIBAR",1
"MENOES",0
"MENOOSA",0
"MENUIBAX",0
"MERCADO",1
"MERCAOO",0
"MERGAR",1
"MERINO",1
"MERIO",0
"MESA",1
"MESAS",0
"MIJANGO",1
"MIJANGOS",0
"MINERO",1
"MIRA",1
"MIRAMOA",0
"MIRANDA",1
"MOJANO",1
"MOJICA",0
"MOLASCO",0
"MOLINA",1
"MOMTALBO",0
"MOMTES",0
"MONDRAGON",1
"MONICO",0
"MONJE",1
"MONJES",0
"MONROI",1
"MONTALBO",1
